# name: hyades
# source: Hipparcos / Tycho / Tim Erickson
# importDate: 4/7/2024&comma; 7:03 AM
# description: Data on the region of sky in which the Hyades star cluster appears.
# attribute -- name: V, description: apparent visual magnitude. Remember: smaller is brighter!, editable: true
# attribute -- name: RA, description: right ascension (celestial longitude&comma; east-west), unit: degrees, editable: true
# attribute -- name: DEC, description: declination (celestial latitude&comma; north-south), unit: degrees, editable: true
# attribute -- name: parallax, description: annual "wiggle", unit: milliarcseconds, editable: true
# attribute -- name: PM_RA, description: proper motion (systematic speed on the sky) in right ascension (east-west), unit: milliarcsec/year, editable: true
# attribute -- name: PM_DEC, description: proper motion (systematic speed on the sky) in declination (north-south), unit: milliarcsec/year, editable: true
# attribute -- name: B_V, description: Color index B–V. Larger is redder&comma; smaller is bluer., unit: mags, editable: true
# attribute -- name: V_I, description: Color index V–I. Larger is redder&comma; smaller is bluer., unit: mags, editable: true
# attribute -- name: cluster, editable: true
V,RA,DEC,parallax,PM_RA,PM_DEC,B_V,V_I,cluster
8.11,62.5901,12.0774,23.85,168.24,89.45,0.741,0.79,Hyades
8.99,62.6706,15.2371,2.82,-15.32,-6.31,1.04,1.01,Hyades
6.61,62.6762,18.4233,23.22,123.92,-31.41,0.427,0.47,Hyades
7.18,62.7299,15.9467,5.04,-10.12,-13.64,0.148,0.16,Hyades
8.71,62.7465,14.2776,5.02,-22.91,-26.12,1.328,1.29,Hyades
6.97,62.7641,16.647,2.99,3.3,2.49,0.344,0.4,Hyades
7.73,62.7937,15.6263,4.24,-0.99,-8.74,0.207,0.23,Hyades
9.66,62.8045,18.3802,8.13,-25.19,-122.41,0.537,0.61,Hyades
9.31,63.0529,20.7452,5.54,16.82,-15.61,0.587,0.66,Hyades
8.61,63.0535,14.9326,10.08,55.36,-69.45,0.465,0.54,Hyades
6.09,63.1305,17.2775,11.42,49.14,-19.59,1.081,1.01,Hyades
9.02,63.1565,12.4562,5.56,-5.84,-0.01,0.574,0.65,Hyades
8.5,63.1589,17.8347,3.52,-2.76,-5.92,1.43,1.42,Hyades
8.09,63.1954,11.1714,7.22,-2.88,-36.75,0.378,0.44,Hyades
9.21,63.1976,10.6072,8.29,22.3,-48.92,0.553,0.63,Hyades
9.17,63.1994,20.7353,5.96,17.32,-24.14,0.479,0.55,Hyades
7.79,63.2044,19.5388,7.3,-9.55,-18.03,0.456,0.53,Hyades
9.15,63.2953,16.7669,11.33,147.29,-45.69,0.64,0.7,Hyades
9.67,,,,,,,,Hyades
10.1,63.344,13.5787,4.69,-10.3,-11.53,0.746,0.79,Hyades
6.24,63.394,10.2125,6.49,26.34,-25.19,0.021,0.04,Hyades
6.25,63.4576,12.7537,9.09,11.6,-16.6,1.143,1.01,Hyades
7.46,63.5041,11.0272,4.2,23.31,-2.08,0.382,0.45,Hyades
8.14,63.5623,18.894,10.63,19.35,-11.38,0.374,0.44,Hyades
6.74,63.5754,12.3482,27.98,341.22,-59.45,0.677,0.74,Hyades
8.18,63.5872,19.5798,6.78,16.04,-50.71,0.543,0.62,Hyades
8.45,63.6066,14.6251,21.91,105.61,-19.86,0.693,0.75,Hyades
8.05,63.6133,12.4353,22.19,117.48,-9.35,0.64,0.7,Hyades
7.11,63.6428,10.7014,21.08,119.81,-5.22,0.514,0.57,Hyades
5.22,63.651,10.0114,6.88,-6.57,-13.44,-0.085,-0.07,Hyades
10.69,63.7161,13.055,22.67,114.46,-19.28,1.204,1.16,Hyades
7.69,63.7539,10.7482,8.03,-8.82,-12.37,0.228,0.25,Hyades
10.02,63.7543,15.7378,5.32,19.75,-15.91,0.604,0.67,Hyades
11.56,63.7931,14.3985,31.94,118.87,-11.92,1.363,1.33,Hyades
9.3,63.8226,18.6254,9.15,-11.21,17.14,0.497,0.57,Hyades
10.96,63.8901,15.7063,31.11,112.78,-25.84,0.924,1.7,Hyades
7.83,63.9265,20.8199,19.48,111.21,-36.57,0.705,0.76,Hyades
6.31,63.9426,15.4007,22.51,114.38,-22.07,0.4,0.46,Hyades
10.73,63.9882,12.0995,0.94,30.56,-20.18,0.457,0.53,Hyades
6.57,64.2029,16.2144,8.13,-23.64,-25.09,1.101,1.06,Hyades
9.44,64.2282,11.484,5.44,-9.92,-2.81,0.53,0.6,Hyades
10.85,64.2517,11.1899,4.99,4.54,-9.01,0.437,0.51,Hyades
7.12,64.2551,19.6759,10.42,3.48,-103.1,0.444,0.51,Hyades
10.89,64.3103,18.9493,-0.29,14.99,-4.1,0.595,0.67,Hyades
4.93,64.3154,20.5787,34.87,-40.88,-61.45,0.259,0.3,Hyades
8.44,64.3307,20.5126,4.07,23.78,-20.82,1.307,1.15,Hyades
8.36,64.3645,16.5906,6.24,-24.14,11.43,0.505,0.58,Hyades
7.61,64.4091,19.561,4.19,12.58,-18.16,1.288,1.25,Hyades
8.32,64.412,16.9479,21.4,113.07,-21.39,0.756,0.8,Hyades
6.9,64.4291,13.8365,5.8,65.11,43.63,0.993,1.15,Hyades
8.76,64.4731,17.3993,12.74,-4.62,-14.49,0.586,0.66,Hyades
7.53,64.5074,18.2569,21.84,115.65,-31.23,0.681,0.74,Hyades
8.78,64.5324,9.72836,0.66,13.09,-8.98,1.105,1.07,Hyades
9.57,64.58,16.0884,20.01,121.88,-19.72,0.98,1.02,Hyades
10.46,64.5865,20.3605,25.45,-51.18,27.58,1.285,1.24,Hyades
10.01,64.5913,17.4217,19.57,120.57,-40.55,1.097,1.06,Hyades
8.36,64.6319,12.5667,3.99,-8.74,-8.19,1.135,1.1,Hyades
8.62,64.7413,19.9068,23.53,113.95,-36.39,0.745,0.79,Hyades
9.63,64.7544,10.1542,-0.18,7.06,-10.17,1.564,1.54,Hyades
8.2,64.7549,21.2994,9.99,37.36,-40.48,0.45,0.52,Hyades
8.47,64.7831,17.5248,21.24,112.8,-29.89,0.721,0.76,Hyades
7.75,64.7877,13.7206,12.47,11,-10.77,0.458,0.53,Hyades
5.5,64.8587,21.1424,12.2,29.49,-42.73,-0.069,-0.05,Hyades
7.59,64.869,11.9662,7.98,-3.89,0.78,0.508,0.58,Hyades
7.87,64.8756,19.9478,3.88,7.73,-6.33,0.206,0.23,Hyades
8.6,64.8904,21.0652,7.72,2.28,-15.94,0.627,0.69,Hyades
8.77,64.8917,14.6923,0.71,3.67,8.9,0.564,0.64,Hyades
9.81,64.9032,12.6244,20.13,168.47,-19.23,0.924,0.97,Hyades
6.31,64.9059,10.1215,5.59,-16.92,-40.9,1.428,1.38,Hyades
7.51,64.9357,14.2742,12.93,80.17,-217.4,0.991,1.03,Hyades
