# name: hyades
# source: Hipparcos / Tycho / Tim Erickson
# importDate: 4/7/2024&comma; 7:03 AM
# description: Data on the region of sky in which the Hyades star cluster appears.
# attribute -- name: V, description: apparent visual magnitude. Remember: smaller is brighter!, editable: true
# attribute -- name: RA, description: right ascension (celestial longitude&comma; east-west), unit: degrees, editable: true
# attribute -- name: DEC, description: declination (celestial latitude&comma; north-south), unit: degrees, editable: true
# attribute -- name: parallax, description: annual "wiggle", unit: milliarcseconds, editable: true
# attribute -- name: PM_RA, description: proper motion (systematic speed on the sky) in right ascension (east-west), unit: milliarcsec/year, editable: true
# attribute -- name: PM_DEC, description: proper motion (systematic speed on the sky) in declination (north-south), unit: milliarcsec/year, editable: true
# attribute -- name: B_V, description: Color index B–V. Larger is redder&comma; smaller is bluer., unit: mags, editable: true
# attribute -- name: V_I, description: Color index V–I. Larger is redder&comma; smaller is bluer., unit: mags, editable: true
# attribute -- name: cluster, editable: true
V,RA,DEC,parallax,PM_RA,PM_DEC,B_V,V_I,cluster
8.06,68.7197,18.4134,3.54,2.03,-4.43,0.21,0.23,Hyades
7.19,68.7442,16.9949,8.06,-0.08,-80.46,1.18,1.19,Hyades
6.73,68.7599,17.2012,3.33,-5.66,-1.29,1.833,1.86,Hyades
8.91,68.8912,12.1005,13.51,40.14,-16.95,0.59,0.66,Hyades
4.25,68.9135,10.1609,21.68,44.89,-52.42,0.184,0.21,Hyades
7.24,68.9167,19.9689,15.41,-9.3,-50.56,0.575,0.65,Hyades
6.33,68.9274,19.8818,7.03,-21.88,-16.5,0.754,0.8,Hyades
0.87,68.98,16.5098,50.09,62.78,-189.36,1.538,1.67,Hyades
6.74,69.0817,11.4125,3.65,2.95,-7.52,0.263,0.3,Hyades
10.7,69.1032,13.1227,9.87,-8.18,-11.75,0.448,0.52,Hyades
7.32,69.1446,19.76,4.23,-10.35,-1.53,0.357,0.42,Hyades
10.31,69.157,18.755,5.74,-26.31,-6.42,0.585,0.66,Hyades
6.64,69.1694,15.8694,22.99,93.78,-23.02,0.442,0.51,Hyades
9.94,69.1716,11.9124,18.93,165.74,-29.14,0.852,0.87,Hyades
7.53,69.2842,10.8419,5.5,-0.34,-11.41,0.208,0.23,Hyades
6.49,69.3116,18.543,3.12,-3.76,-6.77,0.81,0.84,Hyades
8.59,69.3534,13.921,0.35,-4.17,-17.19,1.788,1.82,Hyades
9.03,69.3822,14.3021,7.59,-8.95,-16.3,0.642,0.62,Hyades
7.53,69.383,15.1465,23.54,86.8,-17.98,0.597,0.67,Hyades
8.91,69.4242,15.3462,3.75,11.88,-31.18,1.332,1.3,Hyades
5.78,69.5391,16.0334,21.96,113.05,-40.4,0.312,0.38,Hyades
4.27,69.5392,12.5109,21.79,101.73,-14.9,0.122,0.15,Hyades
5.85,69.566,20.6847,9.03,-13.89,-8.23,-0.019,0,Hyades
8.45,69.6294,18.7337,1.98,-1.46,-2.73,0.223,0.25,Hyades
7.89,69.6637,17.4081,7.38,12.65,-11.64,0.403,0.47,Hyades
9.89,69.7173,20.7808,6.63,5.61,-15.99,0.48,0.55,Hyades
9.05,69.7336,11.9973,5.16,-0.63,-6.15,-0.02,0.37,Hyades
7.96,69.7386,14.1056,20.81,103.31,-21.62,0.655,0.72,Hyades
9.44,69.7666,10.3989,5.02,1.34,-5.71,0.5,0.64,Hyades
7.2,69.7861,13.0031,16.77,-43.12,-64.17,0.429,0.5,Hyades
5.08,69.7883,15.8,21.49,32.4,-77.67,0.141,0.16,Hyades
10.21,69.8015,10.9243,7.29,-4.26,3.9,0.658,0.72,Hyades
4.67,69.8185,15.918,20.51,82.4,-19.53,0.147,0.19,Hyades
9.68,69.8229,11.2652,9.56,84.37,-58.8,0.72,0.77,Hyades
9.53,69.8446,19.1186,6.74,19.41,-35.07,0.536,0.61,Hyades
8.93,69.9015,13.1234,17.64,236.38,-141.18,0.83,0.87,Hyades
9.19,69.9276,9.87298,35.21,-11.41,-373.65,1.018,1.18,Hyades
10.04,69.9621,12.7285,23.95,102,-17.7,1.073,1.14,Hyades
7.91,69.9674,17.4893,3.17,-6.78,-8.85,1.32,1.28,Hyades
5.45,70.0142,12.1976,9.46,-1.29,-12.98,-0.121,-0.11,Hyades
9.14,70.0401,20.5483,3.45,-0.45,-10.33,0.372,0.43,Hyades
9.7,70.053,16.3987,9.39,-9.63,-3.8,0.491,0.56,Hyades
10.11,70.1037,9.50404,5.98,8.3,0.54,0.56,0.63,Hyades
9.47,70.1059,16.5137,23.65,91.94,-30.69,1.096,1.17,Hyades
8.09,70.3292,20.9021,74.13,-233.61,-254.55,1.092,1.16,Hyades
9.96,70.3323,15.5119,3.62,-1.5,0.91,0.494,0.57,Hyades
10.21,70.3984,19.5925,-4.46,4.1,-0.2,1.008,0.98,Hyades
10.3,70.4611,21.4685,-1.75,0.37,-6.19,0.644,0.71,Hyades
8.77,70.5194,14.3265,6.31,23.56,-10.65,0.42,0.49,Hyades
10.39,70.5223,11.856,0.79,8.01,-3.14,0.432,0.5,Hyades
8.09,70.5407,15.9699,9.15,-23.66,-27.58,0.388,0.45,Hyades
10.77,70.5438,19.8052,2.6,-3.94,-2.42,0.584,0.66,Hyades
6.76,70.5625,9.63398,12.76,36.17,-65.16,0.354,0.42,Hyades
9.88,70.5846,10.451,5.18,2.03,-2.07,0.529,0.6,Hyades
10.54,70.6282,17.878,6.35,21.33,-55.5,0.577,0.65,Hyades
8.16,70.656,12.3111,1.69,1.24,0.89,0.755,0.8,Hyades
11.3,70.6832,16.5142,17.92,-177.92,-196.32,1.27,1.44,Hyades
7.4,70.7033,12.2103,18.42,80.19,-227.59,0.76,0.8,Hyades
7.12,70.7152,18.7207,23.23,103.46,-92.15,0.677,0.74,Hyades
10.27,70.7176,18.1452,19.22,61.63,-121.96,0.818,0.84,Hyades
9.95,70.7307,18.9609,106.16,659.83,-1114.72,1.523,2.25,Hyades
8.23,70.7437,17.3111,3.81,13.09,-1.87,1.7,1.71,Hyades
6.69,70.7472,14.8145,5.4,-24.3,11.59,0.904,0.91,Hyades
9.92,70.7557,18.7119,21.1,100.3,-93,1.122,1.21,Hyades
8.66,70.7763,20.6299,11.51,64.89,19.84,0.533,0.61,Hyades
8.63,70.7771,9.62042,8.17,-6.33,4.09,0.414,0.48,Hyades
9.64,70.8405,12.446,6.13,7.16,-16.53,0.714,0.77,Hyades
9.47,70.8774,12.3345,8.22,-22.44,-14.52,0.689,0.75,Hyades
10.29,70.882,11.1667,21.48,97.8,24.92,1.16,1.26,Hyades
10.58,70.9548,15.8314,3.75,2.13,-40.26,0.653,0.72,Hyades
9.76,70.9732,12.6858,8.81,-5.09,-67.86,0.706,0.76,Hyades
7.61,71.0155,12.9912,15.18,3.71,49.45,0.442,0.51,Hyades
10.86,71.0279,20.3119,1.75,-12.11,-27.89,0.655,0.72,Hyades
5.39,71.1074,11.1462,20.73,98.87,-13.47,0.251,0.3,Hyades
8.08,71.1864,14.6268,11.12,11.98,-14.65,0.47,0.54,Hyades
9.32,71.3656,19.3492,9.08,132.08,-123.92,0.89,0.9,Hyades
8.39,71.3945,19.3283,1.66,0.25,1.18,0.355,0.42,Hyades
9.93,71.4012,21.4604,7.82,16.06,37.45,0.644,0.71,Hyades
9.44,71.4362,10.2743,3.26,-11.83,-1.59,0.439,0.51,Hyades
5.35,71.5071,11.7056,12.24,67.48,-7.09,0.197,0.2,Hyades
7.48,71.5213,18.8007,1.36,-1.35,-1.32,1.499,1.53,Hyades
5.99,71.5699,18.7349,10.81,73.03,-69.79,1.221,1.1,Hyades
10.15,71.5879,13.8389,5.12,-17.34,-27.58,0.909,0.91,Hyades
9.64,71.5932,19.2052,3.52,-1.14,-0.11,0.243,0.27,Hyades
8.3,71.6264,15.4721,19.42,91.37,-24.72,0.665,0.73,Hyades
8.2,71.6406,14.5316,8.46,10.14,17.52,0.427,0.49,Hyades
8.44,71.6496,19.4943,0.93,-1.39,-1.15,1.6,1.57,Hyades
9.6,71.7058,17.7484,24.11,96.93,-33.93,0.967,1.01,Hyades
9.18,71.7058,16.3016,-0.48,6.39,-2.6,1.26,1.93,Hyades
7.19,71.7777,10.0516,5.83,14.98,2.84,0.16,0.18,Hyades
8.24,71.8797,10.1694,4.41,-1.39,-6.82,0.34,0.4,Hyades
8.94,71.9043,11.7867,6.95,-16.42,10.2,0.502,0.57,Hyades
8.54,71.9063,18.2588,19.81,78.87,-38.81,0.72,0.77,Hyades
11.97,71.9083,13.1159,6.12,-3.72,-36.91,,,Hyades
8.73,71.9167,13.1147,5.77,26.25,-2.37,0.473,0.54,Hyades
8.88,71.9301,15.1911,4.34,17.05,28.77,1.12,1.08,Hyades
11.73,,,,,,,-0.07,Hyades
9.65,72.0806,18.5657,3.24,-18.33,-13.32,0.396,0.46,Hyades
8.82,72.1337,10.9664,3.21,-4.54,-1.9,1.177,1.14,Hyades
7.69,72.1388,12.9254,5.18,-6.57,-12.59,0.94,0.93,Hyades
7.57,72.1719,16.6345,11.55,24.76,-79.26,0.433,0.5,Hyades
9.29,72.1725,10.8673,-1.26,2,-1.47,0.36,0.42,Hyades
6.95,72.1751,18.7104,32.51,190.15,-384.9,0.618,0.69,Hyades
9.06,72.1753,21.1011,19.3,81.87,-46.43,0.843,0.88,Hyades
8.73,72.1805,10.3952,0.68,-2.72,-3.77,1.58,1.6,Hyades
7.03,72.1828,21.3158,6.2,-6.85,-16.39,0.122,0.14,Hyades
10.13,72.1877,20.3596,2.36,-3.7,-2.09,0.25,0.28,Hyades
9.56,72.1911,19.724,1.17,4.09,-9.24,0.614,0.68,Hyades
8.31,72.2599,15.8632,2.18,7.37,-3.81,1.052,1.02,Hyades
8.98,72.2645,18.6413,21.38,82.39,-40.86,0.833,0.88,Hyades
8.4,72.2879,11.8519,3.31,-3.13,4.97,0.34,0.4,Hyades
9.12,72.3611,10.9884,2.9,-5.59,-3.81,0.332,0.39,Hyades
7.72,72.3836,15.8888,19.68,87.37,-23.68,0.578,0.65,Hyades
6.09,72.4337,15.9042,2.31,3.9,-6.92,1.551,1.57,Hyades
7.06,72.4789,13.6891,2.83,-11.99,-24.21,1.744,1.77,Hyades
