# name: pleiades
# source: Hipparcos / Tycho / Tim Erickson
# importDate: 4/7/2024&comma; 7:19 AM
# description: Data on the region of sky in which the Hyades star cluster appears.
# attribute -- name: V, description: apparent visual magnitude. Remember: smaller is brighter!, editable: true
# attribute -- name: RA, description: right ascension (celestial longitude&comma; east-west), unit: degrees, editable: true
# attribute -- name: DEC, description: declination (celestial latitude&comma; north-south), unit: degrees, editable: true
# attribute -- name: parallax, description: annual "wiggle", unit: milliarcseconds, editable: true
# attribute -- name: PM_RA, description: proper motion (systematic speed on the sky) in right ascension (east-west), unit: milliarcsec/year, editable: true
# attribute -- name: PM_DEC, description: proper motion (systematic speed on the sky) in declination (north-south), unit: milliarcsec/year, editable: true
# attribute -- name: B_V, description: Color index B–V. Larger is redder&comma; smaller is bluer., unit: mags, editable: true
# attribute -- name: V_I, description: Color index V–I. Larger is redder&comma; smaller is bluer., unit: mags, editable: true
# attribute -- name: cluster, editable: true
V,RA,DEC,parallax,PM_RA,PM_DEC,B_V,V_I,cluster
8.12,57.2279,22.7992,5.27,6.48,-5.79,0.05,0.06,Pleiades
6.47,57.2371,23.8573,13.44,46.92,-56.45,0.377,0.44,Pleiades
8.11,57.2509,21.3422,10.02,-11.79,0.59,0.528,0.6,Pleiades
3.62,57.2905,24.0535,8.57,17.77,-44.7,-0.07,-0.03,Pleiades
5.05,57.2967,24.1368,8.42,18.71,-46.74,-0.082,-0.06,Pleiades
6.62,57.3406,24.3811,8.02,18.34,-44.53,-0.027,-0.02,Pleiades
7.01,57.409,22.5336,10.12,17.8,-45,0.033,0.05,Pleiades
6.17,57.4313,23.712,8.58,16.5,-44.53,-0.046,-0.02,Pleiades
6.05,57.4794,22.2443,10.14,23.88,-45.9,-0.006,0.05,Pleiades
6.73,57.4918,23.8488,6.3,18.74,-44.35,0.063,0.07,Pleiades
7.29,57.514,22.5918,26.91,155.06,-63.56,0.538,0.61,Pleiades
5.24,57.5788,25.5796,16.96,36.37,-117.95,0.231,0.26,Pleiades
6.95,57.7184,23.9616,9.83,16.8,-45.76,0.078,0.09,Pleiades
10.17,57.7626,23.9038,24.72,150.93,-46.61,1.16,1.12,Pleiades
11.2,,,,,,0.55,0.62,Pleiades
6.79,57.8554,25.163,4.76,-8.97,-11.5,0.16,0.18,Pleiades
8.86,57.8633,24.5188,7.56,20.19,-45.36,0.38,0.44,Pleiades
6.71,57.9026,22.0314,8.64,16.16,-30.54,1.12,1.15,Pleiades
7.57,58.0228,22.6725,37.25,207,-340.95,0.684,0.74,Pleiades
6.77,58.0478,25.1635,25.34,-121.53,-163.78,0.583,0.65,Pleiades
10.44,58.201,26.3663,4.91,26.07,-28.19,0.63,0.7,Pleiades
9.44,58.2228,24.7158,8.57,15.43,-45.83,0.48,0.55,Pleiades
8,58.247,26.6788,11.45,106.94,-123.03,0.644,0.71,Pleiades
10.24,58.3071,25.7561,4.16,9.17,-16.89,0.21,0.23,Pleiades
8.29,58.3382,23.1236,3.68,7.69,5.12,1.54,1.59,Pleiades
7.84,58.3834,25.73,7.29,-3.74,-22.08,0.24,0.27,Pleiades
6.35,58.3936,25.683,6.82,21.06,-34.22,0.11,0.12,Pleiades
7.48,58.4596,26.8959,1.35,-0.71,-8.72,1.049,1.02,Pleiades
10.94,58.6051,24.3602,6.64,20.29,-48.98,0.714,0.76,Pleiades
10.96,58.6159,21.3899,10.26,19.84,-41.69,0.737,0.78,Pleiades
10.79,58.639,25.5325,10.1,12.84,-36.94,0.749,0.79,Pleiades
7.95,58.6857,23.2016,3.25,1.35,-9.14,0.048,0.06,Pleiades
8.06,58.7788,27.0646,2.49,4.29,-7.55,1.048,1.02,Pleiades
8.4,58.8308,23.3604,8.61,69.97,-9.28,1.01,0.99,Pleiades
10.15,,,,,,1.26,1.43,Pleiades
11.85,,,,,,0.43,0.5,Pleiades
8.34,59.1171,23.1504,8.66,16.99,-47.06,0.269,0.3,Pleiades
7.84,59.1192,22.675,21.41,174.27,-233.12,0.688,0.75,Pleiades
8.76,59.1299,26.7429,6.11,72.41,-61.55,0.501,0.57,Pleiades
9.53,59.1654,21.9577,6.78,42.2,-40.72,0.469,0.54,Pleiades
5.62,59.2168,22.4783,22.31,69.43,-114.82,0.345,0.4,Pleiades
6.05,59.2658,23.1756,6.14,8.95,-16.98,0.031,0.05,Pleiades
6.84,59.297,21.3236,8.01,-6.4,-12.78,1.03,1,Pleiades
7.5,59.2993,25.2828,3.98,-0.42,8.65,1.022,1,Pleiades
8.96,59.349,21.5538,8.84,9.6,-43.24,0.625,0.69,Pleiades
6.19,59.3599,24.462,3.04,-5.99,-7.33,1.372,1.2,Pleiades
8.78,59.4466,22.9244,27.72,157.34,11,,,Pleiades
7.21,59.587,24.0812,5.08,17.54,-44.24,0.035,0.05,Pleiades
