# name: golden gate tides and weather
# source: https://tidesandcurrents.noaa.gov/
# importDate: 4/9/2024&comma; 10:50 AM
# description: July 2023 tides at the Golden Gate in San Francisco&comma; CA&comma; USA.&NewLine;&NewLine;We also added some weather data&comma; which lets you ask other interesting questions.
# attribute -- name: when, type: date, editable: true
# attribute -- name: Predicted, description: predicted height of the water, unit: ft, editable: true
# attribute -- name: Verified, description: Acutal&comma; verified water height, unit: ft, precision: 4, editable: true
# attribute -- name: Time, description: Local time (Pacific daylight&comma; GMT – 7), editable: true
# attribute -- name: Wind Speed, unit: kt, editable: true
# attribute -- name: Wind Dir, description: North is 0&comma; FROM the west is 270., unit: deg, editable: true
# attribute -- name: Wind Gust, unit: kt, editable: true
# attribute -- name: Air Temp, unit: °F, editable: true
# attribute -- name: Baro, description: Barometric pressure. Standard at sea level is 1013., unit: mb, editable: true
when,Predicted,Verified,Time,Wind Speed,Wind Dir,Wind Gust,Air Temp,Baro
"7/4/2023, 8:00 PM",3.553,3.82,20:00,5.64,226,11.66,56.7,1013.2
"7/4/2023, 9:00 PM",4.302,4.59,21:00,5.83,244,14.38,56.1,1013.2
"7/4/2023, 10:00 PM",5.229,5.56,22:00,3.89,255,7.58,55.8,1013.8
"7/4/2023, 11:00 PM",6.11,6.45,23:00,7.19,213,11.47,55,1014.1
"7/5/2023, 12:00 AM",6.718,7.17,00:00,6.8,206,11.47,55,1014.6
"7/5/2023, 1:00 AM",6.838,7.29,01:00,5.83,220,14.77,55,1014.4
"7/5/2023, 2:00 AM",6.267,6.67,02:00,5.44,227,12.05,54.9,1014.2
"7/5/2023, 3:00 AM",4.944,5.27,03:00,5.83,190,9.91,54.5,1013.7
"7/5/2023, 4:00 AM",3.08,3.32,04:00,4.28,270,8.16,54.7,1013.6
"7/5/2023, 5:00 AM",1.098,1.48,05:00,6.03,232,11.66,54.3,1013.6
"7/5/2023, 6:00 AM",-0.528,0.04,06:00,6.03,206,11.08,54.3,1013.6
"7/5/2023, 7:00 AM",-1.459,-0.91,07:00,2.33,213,9.14,54.5,1013.7
"7/5/2023, 8:00 AM",-1.613,-1.18,08:00,4.47,241,12.05,54.7,1014
"7/5/2023, 9:00 AM",-1.101,-0.84,09:00,4.08,240,6.8,55,1014.7
"7/5/2023, 10:00 AM",-0.097,0.29,10:00,8.94,226,13.02,55.4,1014.7
"7/5/2023, 11:00 AM",1.189,1.58,11:00,3.89,235,11.47,55.9,1014.8
"7/5/2023, 12:00 PM",2.549,2.89,12:00,9.52,225,13.61,56.5,1014.9
"7/5/2023, 1:00 PM",3.792,4.1,13:00,7.58,213,11.47,56.7,1014.9
"7/5/2023, 2:00 PM",4.694,4.97,14:00,7.39,224,11.66,58.1,1014.6
"7/5/2023, 3:00 PM",5.043,5.33,15:00,9.72,224,17.11,58.1,1014.3
"7/5/2023, 4:00 PM",4.8,5.09,16:00,5.44,259,11.66,57,1014
"7/5/2023, 5:00 PM",4.156,4.55,17:00,4.67,243,8.94,57.7,1013.5
"7/5/2023, 6:00 PM",3.439,3.83,18:00,7.39,226,15.75,58.3,1013.1
"7/5/2023, 7:00 PM",2.981,3.23,19:00,4.47,220,13.22,57.9,1013.1
"7/5/2023, 8:00 PM",2.963,3.16,20:00,4.67,267,12.05,57.4,1013.2
"7/5/2023, 9:00 PM",3.376,3.57,21:00,8.16,202,14.19,56.8,1013.3
"7/5/2023, 10:00 PM",4.122,4.36,22:00,3.5,203,10.11,56.7,1013.8
"7/5/2023, 11:00 PM",5.033,5.21,23:00,2.92,248,11.47,56.5,1014
"7/6/2023, 12:00 AM",5.882,6.11,00:00,6.22,246,8.16,56.3,1013.9
"7/6/2023, 1:00 AM",6.443,6.68,01:00,3.69,207,9.33,56.5,1014
"7/6/2023, 2:00 AM",6.501,6.87,02:00,4.47,207,7.97,56.3,1014
"7/6/2023, 3:00 AM",5.867,6.21,03:00,4.86,238,7.58,56.1,1013.4
"7/6/2023, 4:00 AM",4.524,4.8,04:00,5.44,250,11.27,55.9,1013.1
"7/6/2023, 5:00 AM",2.721,2.99,05:00,5.64,217,7.97,55.6,1013.2
"7/6/2023, 6:00 AM",0.882,1.33,06:00,4.08,233,6.41,55.4,1013.3
"7/6/2023, 7:00 AM",-0.547,-0.04,07:00,2.92,224,4.47,55,1013.6
"7/6/2023, 8:00 AM",-1.28,-0.89,08:00,4.28,201,6.61,55,1014
"7/6/2023, 9:00 AM",-1.278,-0.93,09:00,3.3,255,6.8,55.8,1014.2
"7/6/2023, 10:00 AM",-0.656,-0.41,10:00,5.25,255,9.72,54.5,1014.4
"7/6/2023, 11:00 AM",0.416,0.75,11:00,5.25,256,9.72,55.4,1014.4
"7/6/2023, 12:00 PM",1.73,2.01,12:00,8.75,235,16.13,56.5,1014.5
"7/6/2023, 1:00 PM",3.07,3.36,13:00,4.67,211,12.44,58.6,1014.3
"7/6/2023, 2:00 PM",4.238,4.5,14:00,7,211,13.02,58.3,1013.8
"7/6/2023, 3:00 PM",5.004,5.26,15:00,7.78,226,12.25,58.6,1013.5
"7/6/2023, 4:00 PM",5.182,5.45,16:00,4.28,229,16.13,57.7,1013
"7/6/2023, 5:00 PM",4.783,5.1,17:00,9.14,256,14.97,56.7,1012.7
"7/6/2023, 6:00 PM",4.028,4.44,18:00,4.47,245,13.22,56.5,1012.1
"7/6/2023, 7:00 PM",3.251,3.64,19:00,10.89,250,18.08,55.6,1011.6
"7/6/2023, 8:00 PM",2.763,2.98,20:00,11.47,245,17.11,55.2,1011.7
"7/6/2023, 9:00 PM",2.712,2.96,21:00,7.39,230,12.25,55,1011.8
"7/6/2023, 10:00 PM",3.083,3.33,22:00,4.47,226,10.69,54.5,1012.2
"7/6/2023, 11:00 PM",3.78,4,23:00,11.08,239,18.86,54.5,1012.4
"7/7/2023, 12:00 AM",4.638,4.86,00:00,6.22,225,14.38,54.5,1012.3
"7/7/2023, 1:00 AM",5.432,5.69,01:00,3.69,205,10.89,54.1,1012.2
"7/7/2023, 2:00 AM",5.945,6.24,02:00,6.41,216,10.5,54,1011.9
"7/7/2023, 3:00 AM",5.971,6.35,03:00,7.97,242,14.19,53.8,1011.4
"7/7/2023, 4:00 AM",5.345,5.71,04:00,9.14,256,16.13,53.6,1011.2
"7/7/2023, 5:00 AM",4.086,4.41,05:00,7.78,260,13.41,53.4,1011.2
"7/7/2023, 6:00 AM",2.453,2.75,06:00,10.3,267,17.11,53.4,1011.7
"7/7/2023, 7:00 AM",0.848,1.19,07:00,3.69,272,13.02,53.6,1012.1
"7/7/2023, 8:00 AM",-0.336,0.1,08:00,6.03,250,13.8,54.1,1012.4
"7/7/2023, 9:00 AM",-0.865,-0.57,09:00,6.03,251,13.02,54.5,1012.4
"7/7/2023, 10:00 AM",-0.724,-0.36,10:00,11.66,252,18.08,55,1012.3
"7/7/2023, 11:00 AM",-0.021,0.28,11:00,10.11,259,17.11,56.1,1012.4
"7/7/2023, 12:00 PM",1.084,1.47,12:00,7.39,246,13.41,57,1012.7
"7/7/2023, 1:00 PM",2.381,2.67,13:00,11.86,233,17.49,57.6,1012.5
